,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Thu nhập lãi và các khoản thu nhập tương tự,7930860000000.0,8461611000000.0,8314894000000.0,8653369000000.0,8290513000000.0,8455034000000.0,9053845000000.0,9419513000000.0,10320044000000.0,11905432000000.0
1,Chi phí lãi và các chi phí tương tự,-4295859000000.0,-4045879000000.0,-3675322000000.0,-3662982000000.0,-3770002000000.0,-3660712000000.0,-3613173000000.0,-3813123000000.0,-4287794000000.0,-5451215000000.0
2,Thu nhập lãi thuần,3635001000000.0,4415732000000.0,4639572000000.0,4990387000000.0,4520511000000.0,4794322000000.0,5440672000000.0,5606390000000.0,6032250000000.0,6454217000000.0
3,Thu nhập từ hoạt động dịch vụ,735773000000.0,797121000000.0,880105000000.0,1186356000000.0,897088000000.0,1062911000000.0,1024894000000.0,1342948000000.0,1296877000000.0,1392840000000.0
4,chi phí hoạt động dịch vụ,-244196000000.0,-391415000000.0,-254898000000.0,-299977000000.0,-261529000000.0,-316093000000.0,-285735000000.0,-349681000000.0,-430092000000.0,-465807000000.0
5,Lãi thuần từ hoạt động dịch vụ,491577000000.0,405706000000.0,625207000000.0,886379000000.0,635559000000.0,746818000000.0,739159000000.0,993267000000.0,866785000000.0,927033000000.0
6,Lãi/(lỗ) thuần từ hoạy động kinh doanh ngoại hối và vàng,192807000000.0,198686000000.0,196140000000.0,231524000000.0,205933000000.0,237959000000.0,303367000000.0,145269000000.0,95844000000.0,503889000000.0
7,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,17433000000.0,63524000000.0,113492000000.0,91668000000.0,183481000000.0,61319000000.0,-11224000000.0,-226653000000.0,-39964000000.0,-110032000000.0
8,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,37526000000.0,32411000000.0,48939000000.0,44709000000.0,92038000000.0,58365000000.0,6505000000.0,18353000000.0,-1502000000.0,-2708000000.0
9,Thu nhập từ hoạt động khác,154046000000.0,136332000000.0,246046000000.0,174708000000.0,148382000000.0,134023000000.0,429099000000.0,412721000000.0,104791000000.0,163883000000.0
10,Chi phí hoạt động khác,-42811000000.0,-70416000000.0,-197099000000.0,-195620000000.0,-106055000000.0,-64922000000.0,-59908000000.0,-56632000000.0,19046000000.0,-23306000000.0
11,Lãi/(lỗ) thuần từ hoạt động khác,111235000000.0,65916000000.0,48947000000.0,-20912000000.0,42327000000.0,69101000000.0,369191000000.0,356089000000.0,123837000000.0,140577000000.0
12,"Thu nhập từ góp vốn, mua cổ phần",1000000.0,13430000000.0,3080000000.0,3462000000.0,10333000000.0,3337000000.0,2093000000.0,30632000000.0,13711000000.0,13020000000.0
13,Tổng thu nhập hoạt động,4485580000000.0,5195405000000.0,5675377000000.0,6227217000000.0,5690182000000.0,5971221000000.0,6849763000000.0,6923347000000.0,7090961000000.0,7925996000000.0
14,Chi phí hoạt động,-1732012000000.0,-1763715000000.0,-1965297000000.0,-1592538000000.0,-2254497000000.0,-2417444000000.0,-2738601000000.0,-2276351000000.0,-2525765000000.0,-4064328000000.0
15,LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng,2753568000000.0,3431690000000.0,3710080000000.0,4634679000000.0,3435685000000.0,3553777000000.0,4111162000000.0,4646996000000.0,4565196000000.0,3861668000000.0
16,Chi phí dự phòng rủi ro tín dụng,-161996000000.0,-246961000000.0,-605761000000.0,-1386245000000.0,-820086000000.0,-524017000000.0,2843000000.0,267364000000.0,-90436000000.0,-250585000000.0
17,Tổng lợi nhuận trước thuế,2591572000000.0,3184729000000.0,3104319000000.0,3248434000000.0,2615599000000.0,3029760000000.0,4114005000000.0,4914360000000.0,4474760000000.0,3611083000000.0
18,Chi phí thuế TNDN hiện hành,-511134000000.0,-633372000000.0,-710036000000.0,-591994000000.0,-558745000000.0,-528304000000.0,-982622000000.0,-903936000000.0,-866236000000.0,-692817000000.0
19,Chi phí thuế TNDN hoãn lại,-5866000000.0,-1814000000.0,89118000000.0,-68205000000.0,45761000000.0,-72961000000.0,156152000000.0,-67276000000.0,-21532000000.0,-47748000000.0
20,Chi phí thuế thu nhập doanh nghiệp,-517000000000.0,-635186000000.0,-620918000000.0,-660199000000.0,-512984000000.0,-601265000000.0,-826470000000.0,-971212000000.0,-887768000000.0,-740565000000.0
21,Lợi nhuận sau thuế,2074572000000.0,2549543000000.0,2483401000000.0,2588235000000.0,2102615000000.0,2428495000000.0,3287535000000.0,3943148000000.0,3586992000000.0,2870518000000.0
22,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Cổ đông của Công ty mẹ,2074572000000.0,2549543000000.0,2483401000000.0,2588235000000.0,2102615000000.0,2428495000000.0,3287535000000.0,3943148000000.0,3586992000000.0,2870518000000.0
24,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,1217.0,0.0,1942.0,849.0
