,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013
0,TỔNG TÀI SẢN,115657849925.0,114780304042.0,99411800450.0,148914198126.0,125042380129.0,120277010035.0,113919622053.0,115295270692.0,127783840226.0,131367921001.0
1,TÀI SẢN NGẮN HẠN,69929474300.0,68983127018.0,54527399967.0,106636127880.0,84028226128.0,76983102128.0,72342838733.0,75219723541.0,86677603989.0,92094489595.0
2,Tiền và tương đương tiền,5601669824.0,10964872807.0,2809947400.0,1003336121.0,451052772.0,10220290374.0,16488004282.0,5715908137.0,9817552469.0,20597232102.0
3,Tiền,5601669824.0,2004872807.0,2809947400.0,1003336121.0,451052772.0,2628290374.0,1856404282.0,3734308137.0,4617552469.0,2147232102.0
4,Các khoản tương đương tiền,0.0,8960000000.0,0.0,0.0,0.0,7592000000.0,14631600000.0,1981600000.0,5200000000.0,18450000000.0
5,Giá trị thuần đầu tư ngắn hạn,20800000000.0,0.0,1600000000.0,24450000000.0,24300000000.0,0.0,0.0,7100000000.0,900000000.0,0.0
6,Đầu tư ngắn hạn,20800000000.0,0.0,1600000000.0,24450000000.0,24300000000.0,0.0,0.0,7100000000.0,900000000.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,18320290916.0,34567421066.0,24787828787.0,38400518146.0,31850964739.0,30566167086.0,29692375680.0,32749196279.0,41779860916.0,41994772141.0
10,Phải thu khách hàng,18203826706.0,34952836539.0,23768371936.0,38807040246.0,31949224123.0,31289048177.0,29155188764.0,33076832003.0,42135492072.0,42353336783.0
11,Trả trước người bán,691198318.0,196590093.0,1547744617.0,96202003.0,659056307.0,39507618.0,1299866243.0,308046438.0,290210110.0,226610110.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,61317055.0,129104898.0,62822698.0,203731843.0,26037243.0,20964225.0,20673607.0,26696347.0,16537243.0,77203757.0
16,Dự phòng nợ khó đòi,-636051163.0,-711110464.0,-591110464.0,-706455946.0,-783352934.0,-783352934.0,-783352934.0,-662378509.0,-662378509.0,-662378509.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",23920874070.0,23087721477.0,24124996361.0,41580306285.0,26464033394.0,35640352621.0,25697383037.0,28272879209.0,32928091957.0,28503992878.0
19,Hàng tồn kho,23920874070.0,23087721477.0,24124996361.0,41580306285.0,26464033394.0,35640352621.0,25697383037.0,28272879209.0,32928091957.0,28503992878.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1286639490.0,363111668.0,1204627419.0,1201967328.0,962175223.0,556292047.0,465075734.0,1381739916.0,1252098647.0,998492474.0
22,Trả trước ngắn hạn,141440347.0,40033337.0,10636364.0,10636364.0,0.0,10636364.0,0.0,10636364.0,64994700.0,0.0
23,Thuế VAT phải thu,974166725.0,146924920.0,1030365660.0,779284027.0,193789960.0,69038692.0,262131658.0,418107058.0,379014934.0,149795298.0
24,Phải thu thuế khác,0.0,0.0,344000.0,252582100.0,599182100.0,316105600.0,36029100.0,803271100.0,630858100.0,677902600.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,171032418.0,176153411.0,163281395.0,159464837.0,169203163.0,160511391.0,166914976.0,149725394.0,177230913.0,170794576.0
27,TÀI SẢN DÀI HẠN,45728375625.0,45797177024.0,44884400483.0,42278070246.0,41014154001.0,43293907907.0,41576783320.0,40075547151.0,41106236237.0,39273431406.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,41474229429.0,41766332254.0,41018026873.0,38512442084.0,37389403741.0,39775438371.0,38193686411.0,36813274417.0,37964767678.0,36240129545.0
