,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,216513184598.0,193549188472.0,194134840039.0,156204043105.0,198846492242.0,193809668191.0,203690618065.0,195712327331.0,213948261317.0,322740209816.0
1,TÀI SẢN NGẮN HẠN,153728556098.0,132422857624.0,134261900870.0,97942705441.0,141554612212.0,139451846182.0,146998065165.0,140072296420.0,159385248228.0,268764547335.0
2,Tiền và tương đương tiền,20597872689.0,13912894161.0,9245785574.0,18417847633.0,13440891775.0,15108316203.0,5420712309.0,19511458341.0,16523727700.0,55713483116.0
3,Tiền,12650905851.0,5965927323.0,1298818736.0,8055284761.0,8335937393.0,10003361821.0,315757927.0,13489651685.0,4330443060.0,50632301372.0
4,Các khoản tương đương tiền,7946966838.0,7946966838.0,7946966838.0,10362562872.0,5104954382.0,5104954382.0,5104954382.0,6021806656.0,12193284640.0,5081181744.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,48330920605.0,44504956820.0,36666151221.0,24980483104.0,44866697431.0,69522856196.0,62117572440.0,30124783498.0,38358633612.0,85131554047.0
10,Phải thu khách hàng,26747695300.0,15067680961.0,6846806016.0,9045898235.0,12737283889.0,43294604813.0,24729438960.0,12767364624.0,23415423686.0,71007373756.0
11,Trả trước người bán,2946482514.0,4957713352.0,1748081290.0,3377812619.0,18629597479.0,12595968833.0,22300826609.0,2833257225.0,2234418995.0,2132600468.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9804840000.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,9005000000.0,9005000000.0,9005000000.0,9005000000.0,9005000000.0,9804840000.0,9804840000.0,0.0,9005000000.0,9005000000.0
15,Phải thu khác,9631742791.0,15474562507.0,19066263915.0,3551772250.0,4494816063.0,3827442550.0,5282466871.0,4719321649.0,3703790931.0,2986579823.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",56765648374.0,42653497519.0,70041807665.0,38393221383.0,64512741727.0,45756941097.0,64973483765.0,70610713976.0,82614233680.0,99976444625.0
19,Hàng tồn kho,56765648374.0,42653497519.0,70041807665.0,38393221383.0,64512741727.0,45756941097.0,64973483765.0,70610713976.0,82614233680.0,99976444625.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,28034114430.0,31351509124.0,18308156410.0,16151153321.0,18734281279.0,9063732686.0,14486296651.0,19825340605.0,21888653236.0,27943065547.0
22,Trả trước ngắn hạn,83301129.0,92882714.0,128082038.0,161559000.0,109972574.0,287757957.0,255764734.0,186448122.0,149776578.0,191658250.0
23,Thuế VAT phải thu,27950813301.0,31258626410.0,18180074372.0,15989594321.0,18624308705.0,8775974729.0,14230531917.0,19638892483.0,21738876658.0,27751407297.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,62784628500.0,61126330848.0,59872939169.0,58261337664.0,57291880030.0,54357822009.0,56692552900.0,55640030911.0,54563013089.0,53975662481.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,5398892951.0,5244866932.0,4854932322.0,4456329239.0,4087957443.0,2096646668.0,1867082170.0,1643549363.0,1545263908.0,1512746467.0
37,GTCL TSCĐ hữu hình,5226369263.0,5092588201.0,4722898548.0,4344540422.0,3996413583.0,2025347765.0,1816028224.0,1612740374.0,1534699876.0,1503810467.0
38,Nguyên giá TSCĐ hữu hình,20807297374.0,21169531510.0,21160158600.0,21052893409.0,20953596328.0,10485312194.0,10485312194.0,10485312194.0,10589312194.0,10723812194.0
39,Khấu hao lũy kế TSCĐ hữu hình,-15580928111.0,-16076943309.0,-16437260052.0,-16708352987.0,-16957182745.0,-8459964429.0,-8669283970.0,-8872571820.0,-9054612318.0,-9220001727.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,172523688.0,152278731.0,132033774.0,111788817.0,91543860.0,71298903.0,51053946.0,30808989.0,10564032.0,8936000.0
44,Nguyên giá TSCĐ vô hình,553940120.0,553940120.0,553940120.0,553940120.0,553940120.0,553940120.0,553940120.0,553940120.0,553940120.0,553940120.0
