,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,177988880498.0,205890166028.0,195483620162.0,208122632852.0,190222432723.0,183191176631.0,183681455548.0,193356057027.0,199009221909.0,207140533496.0
1,TÀI SẢN NGẮN HẠN,174162911417.0,201956193857.0,191852343708.0,204769369703.0,187137751582.0,179817161032.0,180592595571.0,190403126481.0,196346804127.0,204744167865.0
2,Tiền và tương đương tiền,2516279927.0,10575679400.0,4178903995.0,8049367967.0,6400736695.0,2854887034.0,5227596329.0,1315163723.0,836737367.0,2626189508.0
3,Tiền,2516279927.0,10575679400.0,4178903995.0,8049367967.0,6400736695.0,2854887034.0,5227596329.0,1315163723.0,836737367.0,2626189508.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,598690096.0,708827596.0,708827596.0,1029170096.0,917447596.0,1666247596.0,1666247596.0,1291680000.0,1291680000.0,842400000.0
6,Đầu tư ngắn hạn,3238957996.0,3238957996.0,3238957996.0,3238957996.0,2952167596.0,2952167596.0,2952167596.0,2952000000.0,2952000000.0,2952000000.0
7,Dự phòng đầu tư ngắn hạn,-2640267900.0,-2530130400.0,-2530130400.0,-2209787900.0,-2034720000.0,-1285920000.0,-1285920000.0,-1660320000.0,-1660320000.0,-2109600000.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,141908903219.0,161689776804.0,154288800550.0,156799384544.0,135893955650.0,133094294737.0,134604269596.0,153069825405.0,158682488020.0,164028746591.0
10,Phải thu khách hàng,141376281300.0,161557656742.0,153763704926.0,153240698420.0,131846431082.0,132799080169.0,134225911225.0,152327159838.0,157955822453.0,163328272696.0
11,Trả trước người bán,120800000.0,50000000.0,0.0,39990500.0,311900000.0,202290000.0,0.0,0.0,0.0,0.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,411821919.0,82120062.0,525095624.0,3518695624.0,3735624568.0,92924568.0,378358371.0,742665567.0,726665567.0,700473895.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",28757381988.0,28765680792.0,32475667305.0,38618923713.0,43300941025.0,41214322078.0,38035138600.0,34104665719.0,35405817669.0,37006035469.0
19,Hàng tồn kho,28757381988.0,28765680792.0,32475667305.0,38618923713.0,43300941025.0,41214322078.0,38035138600.0,34104665719.0,35405817669.0,37006035469.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,381656187.0,216229265.0,200144262.0,272523383.0,624670616.0,987409587.0,1059343450.0,621791634.0,130081071.0,240796297.0
22,Trả trước ngắn hạn,327588009.0,163061087.0,150353000.0,13095955.0,44045591.0,888199590.0,1059343450.0,621791634.0,130081071.0,240796297.0
23,Thuế VAT phải thu,0.0,0.0,0.0,235265550.0,558163147.0,94600277.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,54068178.0,53168178.0,49791262.0,24161878.0,22461878.0,4609720.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,3825969081.0,3933972171.0,3631276454.0,3353263149.0,3084681141.0,3374015599.0,3088859977.0,2952930546.0,2662417782.0,2396365631.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,3825969081.0,3933972171.0,3631276454.0,3353263149.0,3084681141.0,3374015599.0,3088859977.0,2952930546.0,2662417782.0,2396365631.0
37,GTCL TSCĐ hữu hình,3825969081.0,3933972171.0,3631276454.0,3353263149.0,3084681141.0,3374015599.0,3088859977.0,2952930546.0,2662417782.0,2396365631.0
38,Nguyên giá TSCĐ hữu hình,105046931053.0,105465113053.0,105465113053.0,105465113053.0,105465113053.0,106030027326.0,106030027326.0,106180027326.0,106180027326.0,106180027326.0
39,Khấu hao lũy kế TSCĐ hữu hình,-101220961972.0,-101531140882.0,-101833836599.0,-102111849904.0,-102380431912.0,-102656011727.0,-102941167349.0,-103227096780.0,-103517609544.0,-103783661695.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Trả trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,81356009387.0,108532384054.0,98050006188.0,114011998267.0,95486092602.0,86698946519.0,87156950813.0,100390018844.0,105673205309.0,113314107411.0
65,Nợ ngắn hạn,81356009387.0,108532384054.0,98050006188.0,114011998267.0,95486092602.0,86698946519.0,87156950813.0,100390018844.0,105673205309.0,113314107411.0
66,Phải trả người bán,23448650411.0,41138807892.0,49458094935.0,68327872671.0,56955429240.0,48586672235.0,48149862888.0,57597751585.0,64739809470.0,66657210070.0
