,CHỈ TIÊU,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
0,TỔNG TÀI SẢN,87916199276.0,85965639750.0,82395861148.0,66022189272.0,64232331366.0,61573787377.0,61594644004.0,59299949354.0,54513564329.0,53900798126.0
1,TÀI SẢN NGẮN HẠN,5006152185.0,5393223244.0,4918857392.0,5222232639.0,5457346784.0,4740854437.0,4707033032.0,4162571667.0,1091933168.0,1963207746.0
2,Tiền và tương đương tiền,49154488.0,289634336.0,47291750.0,46586060.0,50541171.0,53916898.0,59002261.0,44645238.0,33740605.0,32242143.0
3,Tiền,49154488.0,289634336.0,47291750.0,46586060.0,50541171.0,53916898.0,59002261.0,44645238.0,33740605.0,32242143.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,4192900343.0,4223905369.0,4039137898.0,4467070072.0,4707789138.0,3970494868.0,3761323456.0,3378962964.0,490491634.0,1238651634.0
10,Phải thu khách hàng,2341992103.0,1657848193.0,0.0,0.0,1460714480.0,0.0,251000511.0,553417190.0,0.0,750000000.0
11,Trả trước người bán,3975987662.0,4720724062.0,6119111062.0,6193831056.0,6229331056.0,6271591056.0,6097796556.0,6097796556.0,3991076556.0,3991896556.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,310335592309.0,310306004845.0,310380698567.0,310813910747.0,310475479333.0,311156639543.0,310650262120.0,309965484949.0,309737150809.0,309734490809.0
16,Dự phòng nợ khó đòi,-312460671731.0,-312460671731.0,-312460671731.0,-312540671731.0,-313457735731.0,-313457735731.0,-313237735731.0,-313237735731.0,-313237735731.0,-313237735731.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",401974878.0,617585273.0,672362857.0,608525071.0,613285824.0,582255603.0,495435729.0,496947064.0,324709885.0,324709885.0
19,Hàng tồn kho,1188870070.0,1404480465.0,1459237047.0,1395399261.0,1400160014.0,1369129793.0,1282309919.0,1283821254.0,1111584075.0,1111584075.0
20,Dự phòng giảm giá HTK,-786895192.0,-786895192.0,-786874190.0,-786874190.0,-786874190.0,-786874190.0,-786874190.0,-786874190.0,-786874190.0,-786874190.0
21,Tài sản lưu động khác,362122476.0,262098266.0,160064887.0,100051436.0,85730651.0,134187068.0,391271586.0,242016401.0,242991044.0,367604084.0
22,Trả trước ngắn hạn,362122476.0,262098266.0,160064887.0,100051436.0,85730651.0,134187068.0,391271586.0,242016401.0,144429035.0,50825000.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98562009.0,316779084.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,82910047091.0,80572416506.0,77477003756.0,60799956633.0,58774984582.0,56832932940.0,56887610972.0,55137377687.0,53421631161.0,51937590380.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,68427605091.0,66089974506.0,62994561756.0,60799956633.0,58774984582.0,56832932940.0,56887610972.0,55137377687.0,53421631161.0,51937590380.0
37,GTCL TSCĐ hữu hình,45043762455.0,42706131870.0,39610719120.0,37416113997.0,35391141946.0,33449090304.0,33503768336.0,31753535051.0,30037788525.0,28553747744.0
38,Nguyên giá TSCĐ hữu hình,185995372063.0,185995372063.0,184059339174.0,184059339174.0,184059339174.0,184059339174.0,185874339174.0,185874339174.0,185005148265.0,185005148265.0
39,Khấu hao lũy kế TSCĐ hữu hình,-140951609608.0,-143289240193.0,-144448620054.0,-146643225177.0,-148668197228.0,-150610248870.0,-152370570838.0,-154120804123.0,-154967359740.0,-156451400521.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0
44,Nguyên giá TSCĐ vô hình,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,23383842636.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23383842636.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,14482442000.0,14482442000.0,14482442000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Trả trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,1802141330314.0,1822252588691.0,1850706027910.0,1867500631304.0,1894642891403.0,1919429867906.0,1947846888144.0,1974081270369.0,1997426420060.0,2014522103366.0
65,Nợ ngắn hạn,1802141330314.0,1822252588691.0,1850706027910.0,1867500631304.0,1894642891403.0,1919429867906.0,1947846888144.0,1974081270369.0,1997426420060.0,2014522103366.0
66,Phải trả người bán,190291370829.0,189055895767.0,186757691366.0,187305369424.0,188040501556.0,187457464912.0,190304368163.0,190564618977.0,186340320982.0,186554958098.0
67,Người mua trả tiền trước,6466084555.0,6466084555.0,7804219574.0,9608680813.0,6466084555.0,10561696376.0,10266084555.0,13735265588.0,16181912961.0,15281912961.0
68,Thuế và các khoản phải trả Nhà nước,12311158521.0,12719869641.0,13162167158.0,14698236119.0,15947627091.0,16069445447.0,13885714039.0,12059450184.0,12061850184.0,12062490184.0
69,Phải trả người lao động,6653283175.0,6688248766.0,10745911919.0,4649022218.0,6918996518.0,5296981150.0,9622929364.0,5914304781.0,2571102125.0,2868181917.0
70,Chi phí phải trả,451558491970.0,474172989577.0,496752064503.0,518346672712.0,542140919735.0,564455769382.0,587153060296.0,608236140940.0,629983964418.0,652289072838.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,125798017331.0,124586576452.0,124740800417.0,126873822459.0,128211059785.0,128670808476.0,130901904034.0,137858662206.0,143914559627.0,139092777605.0
