,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,9236117384647.0,8726132826831.0,8537370806186.0,9313403891545.0,9631586128279.0,10846377504571.0,12942090349921.0,13916785768001.0,13436305964015.0,14193395256818.0
1,TÀI SẢN NGẮN HẠN,4193324835002.0,3986947246255.0,4106050728553.0,5196709864131.0,5836119226472.0,7282185488206.0,9491389553736.0,10784246933828.0,10614353055245.0,11633943108689.0
2,Tiền và tương đương tiền,373810125579.0,509995350873.0,435782531594.0,1159558420808.0,663120284075.0,427652730904.0,1045379351399.0,1996496136466.0,772152328201.0,2125625291560.0
3,Tiền,373810125579.0,289995350873.0,400782531594.0,859558420808.0,663120284075.0,427652730904.0,1045379351399.0,846496136466.0,752152328201.0,2125625291560.0
4,Các khoản tương đương tiền,0.0,220000000000.0,35000000000.0,300000000000.0,0.0,0.0,0.0,1150000000000.0,20000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,2202000000000.0,2302000000000.0,2602000000000.0,2932000000000.0,3412000000000.0,4362000000000.0,5562000000000.0,5212000000000.0,6912000000000.0,6812000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,2202000000000.0,2302000000000.0,2602000000000.0,2932000000000.0,3412000000000.0,4362000000000.0,5562000000000.0,5212000000000.0,6912000000000.0,6812000000000.0
9,Các khoản phải thu,532220529605.0,217396300223.0,195136185000.0,190031892909.0,267971954959.0,187577767146.0,659585321517.0,922784815501.0,671266258083.0,186775708424.0
10,Phải thu khách hàng,294285037346.0,44753555075.0,1207151341.0,14988090925.0,1398595342.0,44653506905.0,13951016302.0,750722762261.0,433269442376.0,1404795808.0
11,Trả trước người bán,30032516109.0,15505616232.0,35330165806.0,54199351706.0,141141555633.0,86006714411.0,579665263214.0,111977907040.0,170822866165.0,84916003561.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
