,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1672798076943.0,10765413686368.0,11158466748892.0,11845449492679.0,12367002444571.0,10647268023138.0,10954285679949.0,8455398844351.0,8490583413429.0,8312221085612.0
1,TÀI SẢN NGẮN HẠN,757128077104.0,3215580655065.0,3558308379258.0,4320505223173.0,4903492617574.0,2533957878709.0,2868364291597.0,2679666049051.0,2837295733851.0,2287230403046.0
2,Tiền và tương đương tiền,21419187219.0,45844071470.0,68490700382.0,138759078728.0,258250403045.0,271589437494.0,59876825902.0,28390726050.0,18443477229.0,79203619488.0
3,Tiền,21419187219.0,39194071470.0,68490700382.0,138759078728.0,258250403045.0,271589437494.0,59876825902.0,21390726050.0,16443477229.0,77203619488.0
4,Các khoản tương đương tiền,0.0,6650000000.0,0.0,0.0,0.0,0.0,0.0,7000000000.0,2000000000.0,2000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,67850000000.0,6100000000.0,1231444482669.0,856044028700.0,6102593654.0,6102326054.0,6102326054.0,6102326054.0,41101778950.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,1225344482669.0,973533470679.0,2618534.0,2326054.0,2326054.0,2326054.0,2326054.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,-123589441979.0,-24880.0,0.0,0.0,0.0,-547104.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,67850000000.0,6100000000.0,6100000000.0,6100000000.0,6100000000.0,6100000000.0,6100000000.0,6100000000.0,41100000000.0
9,Các khoản phải thu,688501692371.0,2802011681315.0,3253784760066.0,2763401895353.0,3587990928081.0,2087677692144.0,2634160420086.0,2477254393334.0,2746177623966.0,2091677924252.0
10,Phải thu khách hàng,556736878439.0,1813485113428.0,2002252796464.0,1321317620038.0,2563398792453.0,1910224931046.0,2358652938791.0,1823105826813.0,2016683450015.0,1691101409676.0
11,Trả trước người bán,3340893470.0,732836342731.0,127716754440.0,298851759480.0,96135680293.0,98996572931.0,33933699254.0,66776504210.0,137930911803.0,10064040930.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,78820000000.0,561130000000.0,442800000000.0,422260000000.0,0.0,191500000000.0,174500000000.0,182500000000.0,0.0
15,Phải thu khác,128517220462.0,186486710004.0,570668845565.0,708416152238.0,511458689387.0,83683947215.0,55200793089.0,417239073359.0,413410273196.0,404262767045.0
16,Dự phòng nợ khó đòi,-93300000.0,-9618353218.0,-7983636403.0,-7983636403.0,-5262234052.0,-5227759048.0,-5127011048.0,-4367011048.0,-4347011048.0,-13750293399.0
17,Tài sản thiếu chờ xử lý,0.0,1868370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",45398406896.0,119667419077.0,167106508444.0,127885169945.0,135907155127.0,95542820341.0,99743337936.0,104610998674.0,37493963788.0,43171545585.0
19,Hàng tồn kho,45398406896.0,119667419077.0,167106508444.0,127885169945.0,135907155127.0,95542820341.0,99743337936.0,104610998674.0,37493963788.0,43171545585.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1808790618.0,180207483203.0,62826410366.0,59014596478.0,65300102621.0,73045335076.0,68481381619.0,63307604939.0,29078342814.0,32075534771.0
22,Trả trước ngắn hạn,119181064.0,123942261620.0,5848372531.0,2694176528.0,6826839938.0,1072612881.0,4235383849.0,21179945114.0,17206107949.0,13364980991.0
23,Thuế VAT phải thu,1689609554.0,56128115150.0,56840299492.0,55883138475.0,58033350350.0,71646799067.0,63758045108.0,41777591851.0,11558373888.0,18396692803.0
24,Phải thu thuế khác,0.0,137106433.0,137738343.0,437281475.0,439912333.0,325923128.0,487952662.0,350067974.0,313860977.0,313860977.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,915669999839.0,7549833031303.0,7600158369634.0,7524944269506.0,7463509826997.0,8113310144429.0,8085921388352.0,5775732795300.0,5653287679578.0,6024990682566.0
28,Phải thu dài hạn,500000000.0,74197070862.0,56124617700.0,55550000000.0,55774399328.0,655550000000.0,655550000000.0,702643521107.0,797766342657.0,737750610904.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120985.0,0.0,0.0
34,Phải thu dài hạn khác,500000000.0,74197070862.0,56124617700.0,55550000000.0,55774399328.0,655550000000.0,655550000000.0,702643400122.0,797766342657.0,737750610904.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,3231004373.0,1064370733615.0,1073953084739.0,1068256709289.0,1050924726129.0,1009876919107.0,996751306458.0,36454641139.0,33341254441.0,32342793043.0
37,GTCL TSCĐ hữu hình,3231004373.0,1056107726038.0,1065712234892.0,1060017116442.0,1042686390282.0,1001639840260.0,988515484611.0,28220076292.0,25107946594.0,24110742196.0
38,Nguyên giá TSCĐ hữu hình,4790699282.0,1642657091110.0,1668615480023.0,1617519900879.0,1583394231889.0,1459527344690.0,1459527344690.0,371779192736.0,308433243601.0,304200629749.0
39,Khấu hao lũy kế TSCĐ hữu hình,-1559694909.0,-586549365072.0,-602903245131.0,-557502784437.0,-540707841607.0,-457887504430.0,-471011860079.0,-343559116444.0,-283325297007.0,-280089887553.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
