,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,2417561319614.0,2465543670663.0,2433733393891.0,2426317840407.0,2418640125636.0,2325920410180.0,2320206035051.0,2275472357283.0,2147706881351.0,2125043416109.0
1,TÀI SẢN NGẮN HẠN,1190486259047.0,1144235959353.0,1140813823881.0,1209720540798.0,1228224286190.0,1158066133395.0,1176055584840.0,1157253328423.0,1047804494574.0,1043096010111.0
2,Tiền và tương đương tiền,53128977355.0,34661255627.0,32936875944.0,20980160063.0,25805923468.0,33813912039.0,63014926108.0,75656900978.0,90232336813.0,78560528534.0
3,Tiền,43128977355.0,34661255627.0,32936875944.0,20980160063.0,25805923468.0,33813912039.0,63014926108.0,65656900978.0,53232336813.0,41560528534.0
4,Các khoản tương đương tiền,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000000.0,37000000000.0,37000000000.0
5,Giá trị thuần đầu tư ngắn hạn,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,30000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,29500000000.0,30000000000.0
9,Các khoản phải thu,737299937319.0,721161214614.0,686457674390.0,748357408024.0,779510141020.0,730309350381.0,711087030172.0,672193408161.0,558800168666.0,576698154898.0
10,Phải thu khách hàng,529170119826.0,536055434954.0,510521081611.0,559624941481.0,588696592139.0,555662313278.0,546080506986.0,525217758552.0,399492240030.0,413376843920.0
11,Trả trước người bán,174157997522.0,149476386975.0,141485075088.0,152134256728.0,148381909520.0,136485018545.0,110877093826.0,107779960267.0,112958362398.0,104065508085.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,2189141728.0,2189141728.0,1189141728.0,1189141728.0,1189141728.0,589141728.0,0.0,0.0,0.0,0.0
15,Phải thu khác,59922935110.0,59880507824.0,60565088280.0,62742253009.0,68575682555.0,65155416082.0,81716754676.0,70604930019.0,77758806915.0,90997218310.0
16,Dự phòng nợ khó đòi,-28140256867.0,-26440256867.0,-27302712317.0,-27333184922.0,-27333184922.0,-27582539252.0,-27587325316.0,-31409240677.0,-31409240677.0,-31741415417.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",342055667401.0,336238893788.0,365105607312.0,381138490199.0,367013032325.0,344362301950.0,350569687311.0,355921608556.0,345625114800.0,333476452936.0
19,Hàng tồn kho,342055667401.0,336238893788.0,365105607312.0,381138490199.0,367013032325.0,344362301950.0,350569687311.0,355921608556.0,345625114800.0,333476452936.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
