,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,73914113986.0,73443344127.0,68520818095.0,66600466816.0,65896305210.0,64539655733.0,62667742797.0,62102381245.0,62648355766.0,61230045701.0
1,TÀI SẢN NGẮN HẠN,32379812494.0,32958999997.0,29548913769.0,28673609227.0,28771435467.0,28457755786.0,28555618050.0,28945578670.0,30401487297.0,29767872264.0
2,Tiền và tương đương tiền,2979570537.0,2835495396.0,3116666722.0,2143507612.0,2859050579.0,2507137767.0,3253827687.0,2623904861.0,1961554042.0,2380271656.0
3,Tiền,2971389537.0,2827314396.0,3108485722.0,2135326612.0,2850869579.0,2498956767.0,3245646687.0,2615723861.0,1953373042.0,2372090656.0
4,Các khoản tương đương tiền,8181000.0,8181000.0,8181000.0,8181000.0,8181000.0,8181000.0,8181000.0,8181000.0,8181000.0,8181000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,8083558319.0,9541073572.0,6753258026.0,6920648066.0,5727897861.0,6648481917.0,5430760391.0,5843444340.0,7579668232.0,8368588140.0
10,Phải thu khách hàng,10321213777.0,11970628596.0,11399346864.0,11801986628.0,10543509290.0,11328640878.0,10657146230.0,11061088021.0,12860689655.0,13613699227.0
11,Trả trước người bán,10803853488.0,10566236116.0,8786417391.0,8573374949.0,8438574949.0,8438585005.0,8463574949.0,8463574949.0,8463574949.0,8478860324.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,2270041941.0,2315759747.0,2119615014.0,2097407732.0,2297934865.0,2433377277.0,2230485149.0,2239227307.0,2175849565.0,2196474526.0
16,Dự phòng nợ khó đòi,-15311550887.0,-15311550887.0,-15552121243.0,-15552121243.0,-15552121243.0,-15552121243.0,-15920445937.0,-15920445937.0,-15920445937.0,-15920445937.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",19310060649.0,18244808930.0,18412083743.0,18355106646.0,18876244809.0,18108973348.0,18705279948.0,19250948161.0,19572545652.0,17903623347.0
19,Hàng tồn kho,19326049357.0,18260797638.0,18412083743.0,18355106646.0,18876244809.0,18108973348.0,18705279948.0,19250948161.0,19572545652.0,17903623347.0
20,Dự phòng giảm giá HTK,-15988708.0,-15988708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,2006622989.0,2337622099.0,1266905278.0,1254346903.0,1308242218.0,1193162754.0,1165750024.0,1227281308.0,1287719371.0,1115389121.0
22,Trả trước ngắn hạn,15512756.0,0.0,29743273.0,6566932.0,700006.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,1342523429.0,1701115098.0,585585606.0,610277415.0,662025551.0,540964168.0,559544054.0,619936447.0,677987872.0,535153355.0
24,Phải thu thuế khác,648586804.0,636507001.0,651576399.0,637502556.0,645516661.0,652198586.0,606205970.0,607344861.0,609731499.0,580235766.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,41534301492.0,40484344130.0,38971904326.0,37926857589.0,37124869743.0,36081899947.0,34112124747.0,33156802575.0,32246868469.0,31462173437.0
28,Phải thu dài hạn,21257008.0,21257008.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
29,Phải thu khách hàng dài hạn,0.0,21257008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,21257008.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,19843509376.0,19313046833.0,18725794830.0,18168558766.0,17636780975.0,17118292601.0,16532714031.0,16028372395.0,15541273649.0,15072425877.0
37,GTCL TSCĐ hữu hình,15733639810.0,15237810569.0,14678093946.0,14148393262.0,13644150851.0,13153197857.0,12595154667.0,12118348411.0,11658785045.0,11217472653.0
38,Nguyên giá TSCĐ hữu hình,36322413538.0,36322413538.0,36322413538.0,36322413538.0,36322413538.0,36057073455.0,36057073455.0,36057073455.0,36057073455.0,36057073455.0
39,Khấu hao lũy kế TSCĐ hữu hình,-20588773728.0,-21084602969.0,-21644319592.0,-22174020276.0,-22678262687.0,-22903875598.0,-23461918788.0,-23938725044.0,-24398288410.0,-24839600802.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,4109869566.0,4075236264.0,4047700884.0,4020165504.0,3992630124.0,3965094744.0,3937559364.0,3910023984.0,3882488604.0,3854953224.0
44,Nguyên giá TSCĐ vô hình,5538892859.0,5538892859.0,5538892859.0,5538892859.0,5538892859.0,5538892859.0,5538892859.0,5538892859.0,5538892859.0,5538892859.0
45,Khấu hao lũy kế TSCĐ vô hình,-1429023293.0,-1463656595.0,-1491191975.0,-1518727355.0,-1546262735.0,-1573798115.0,-1601333495.0,-1628868875.0,-1656404255.0,-1683939635.0
46,Bất động sản đầu tư,18842202210.0,18627374579.0,18428146948.0,18221119317.0,18014091686.0,17807064055.0,17600036424.0,17393008793.0,17185981162.0,16978953531.0
47,Nguyên giá tài sản đầu tư,29549207355.0,29549207355.0,29549207355.0,29549207355.0,29549207355.0,29549207355.0,29549207355.0,29549207355.0,29549207355.0,29549207355.0
48,Khấu hao lũy kế tài sản đầu tư,-10707005145.0,-10921832776.0,-11121060407.0,-11328088038.0,-11535115669.0,-11742143300.0,-11949170931.0,-12156198562.0,-12363226193.0,-12570253824.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,154766908.0,154766908.0,-144613012.0,-144613012.0,-144613012.0,-144613012.0,-1470795782.0,-1470795782.0,-1470795782.0,-1470795782.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,154766908.0,154766908.0,212544303.0,212544303.0,212544303.0,212544303.0,239451970.0,239451970.0,239451970.0,239451970.0
55,Đầu tư dài hạn khác,0.0,0.0,-357157315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,-357157315.0,-357157315.0,-357157315.0,-1710247752.0,-1710247752.0,-1710247752.0,-1710247752.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,2672565990.0,2367898802.0,1959575560.0,1678792518.0,1615610094.0,1298156303.0,1447170074.0,1203217169.0,987409440.0,878589811.0
59,Trả trước dài hạn,2672565990.0,2367898802.0,1959575560.0,1678792518.0,1615610094.0,1298156303.0,1447170074.0,1203217169.0,987409440.0,878589811.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,82957209286.0,83781791880.0,81045670792.0,79513497004.0,79834866776.0,79304336945.0,80640240253.0,81752165355.0,82011326490.0,77579777614.0
65,Nợ ngắn hạn,75636011712.0,74296148425.0,74129280796.0,71772778127.0,72846125948.0,71783245236.0,74421275165.0,76710326886.0,75912297628.0,70509297006.0
