,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,31404497803.0,27279561644.0,26389505306.0,25793795473.0,25848609926.0,24937408083.0,25013058560.0,24603753389.0,25768440253.0,25870120257.0
1,TÀI SẢN NGẮN HẠN,23164386750.0,19633449548.0,19021350733.0,18959698070.0,19337313032.0,18322626735.0,17284271201.0,17697800938.0,18989378952.0,19459954528.0
2,Tiền và tương đương tiền,75143984.0,29694884.0,136740614.0,16960708.0,3686394072.0,37527557.0,90841305.0,2405534814.0,79282010.0,581185152.0
3,Tiền,75143984.0,29694884.0,136740614.0,16960708.0,3686394072.0,37527557.0,90841305.0,2405534814.0,79282010.0,581185152.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,6461564301.0,4549460271.0,3958544949.0,4093884038.0,1110577891.0,4323570545.0,3907209901.0,2729741176.0,7218427745.0,7462615701.0
10,Phải thu khách hàng,6622375791.0,4762826846.0,4042288713.0,4281380708.0,1017841581.0,4214349435.0,3904114187.0,620711741.0,4232469311.0,4669210954.0
11,Trả trước người bán,22870000.0,22000000.0,93598632.0,13111120.0,0.0,0.0,21000000.0,271000000.0,917000000.0,1217000000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,137631110.0,85946025.0,143970204.0,120704810.0,414048910.0,430533710.0,303408314.0,2159342035.0,2390271034.0,1897717347.0
16,Dự phòng nợ khó đòi,-321312600.0,-321312600.0,-321312600.0,-321312600.0,-321312600.0,-321312600.0,-321312600.0,-321312600.0,-321312600.0,-321312600.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",16510437144.0,15054294392.0,14926065170.0,14701167952.0,14465840880.0,13960213630.0,13230003795.0,12419232613.0,11620023029.0,11416153675.0
19,Hàng tồn kho,16510437144.0,15054294392.0,14926065170.0,14701167952.0,14465840880.0,13960213630.0,13230003795.0,12419232613.0,11620023029.0,11416153675.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
