,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,558822325937.0,1170618057515.0,1627786710263.0,1637948026259.0,1717387565547.0,1593088291723.0,1765730917008.0,1663040518640.0,1678479566120.0,1673163322411.0
1,TÀI SẢN NGẮN HẠN,252972428982.0,865007063017.0,895019896233.0,1330532273819.0,1411673325984.0,1282246647147.0,1455147698162.0,1352773319881.0,1365949128527.0,1360851487276.0
2,Tiền và tương đương tiền,704289374.0,2544078678.0,1339315588.0,3413801294.0,6284759898.0,3143094202.0,1995625253.0,21600726861.0,6951195518.0,3567597265.0
3,Tiền,704289374.0,2544078678.0,1339315588.0,3413801294.0,6284759898.0,3143094202.0,1995625253.0,21600726861.0,6951195518.0,3567597265.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,425250000000.0,406350000000.0,340200000000.0,340200000000.0,340200000000.0,340200000000.0,340200000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,425250000000.0,406350000000.0,0.0,340200000000.0,340200000000.0,340200000000.0,340200000000.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,340200000000.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,245315271468.0,856058810725.0,887300906734.0,895321594981.0,993816478813.0,917808937090.0,1100716300282.0,974196435256.0,1010869352573.0,1011291895696.0
10,Phải thu khách hàng,215740691975.0,826811965261.0,857542757984.0,862939209055.0,963070555516.0,882378040342.0,1058573819421.0,935197343419.0,962741659101.0,970283452796.0
11,Trả trước người bán,19181035359.0,18670683480.0,19162178693.0,21740642860.0,19805079660.0,24856769260.0,31053732620.0,27485847620.0,25015627620.0,18955891420.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,18795729636.0,18969181452.0,18933491125.0,18972664134.0,19234923775.0,18656756241.0,19170177294.0,19589683338.0,31188504973.0,32557762152.0
16,Dự phòng nợ khó đòi,-8416013760.0,-8416013760.0,-8360515360.0,-8353915360.0,-8353915360.0,-8143163775.0,-8143163775.0,-8140163775.0,-8140163775.0,-10570395925.0
17,Tài sản thiếu chờ xử lý,13828258.0,22994292.0,22994292.0,22994292.0,59835222.0,60535022.0,61734722.0,63724654.0,63724654.0,65185253.0
18,"Hàng tồn kho, ròng",6396683896.0,5691889027.0,5794863034.0,5665725722.0,4651354877.0,20203291172.0,11429633301.0,16262716696.0,7044453406.0,5164184230.0
19,Hàng tồn kho,6396683896.0,5691889027.0,6240996434.0,6111859122.0,5097488277.0,20239253941.0,11465596070.0,16298679465.0,7080416175.0,5164184230.0
20,Dự phòng giảm giá HTK,0.0,0.0,-446133400.0,-446133400.0,-446133400.0,-35962769.0,-35962769.0,-35962769.0,-35962769.0,0.0
21,Tài sản lưu động khác,556184244.0,712284587.0,584810877.0,881151822.0,570732396.0,891324683.0,806139326.0,513441068.0,884127030.0,627810085.0
22,Trả trước ngắn hạn,236349793.0,376549815.0,264976426.0,380730367.0,250897946.0,359316042.0,261204275.0,193606617.0,244615449.0,146079176.0
23,Thuế VAT phải thu,319834451.0,335734772.0,319834451.0,500421455.0,319834450.0,0.0,544935051.0,319834451.0,639511581.0,481730909.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,532008641.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,305849896955.0,305610994498.0,732766814030.0,307415752440.0,305714239563.0,310841644576.0,310583218846.0,310267198759.0,312530437593.0,312311835135.0
28,Phải thu dài hạn,221400000000.0,221400000000.0,221400000000.0,221400000000.0,221400000000.0,221400000000.0,221400000000.0,221400000000.0,221400000000.0,221400000000.0
