,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,216170257185.0,242032200367.0,218896780556.0,213681442065.0,228413351108.0,238911288493.0,244320342311.0,251576237552.0,296611148690.0,321408769443.0
1,TÀI SẢN NGẮN HẠN,196752426692.0,224190200424.0,202203749516.0,198200250969.0,214255636321.0,225414221476.0,231059215060.0,235630961702.0,283217567911.0,309675277502.0
2,Tiền và tương đương tiền,29668825403.0,12847567724.0,22825992699.0,25863629802.0,7244321407.0,8617687884.0,16092131257.0,7623337908.0,8761700277.0,9943148003.0
3,Tiền,21668825403.0,12847567724.0,12825992699.0,6863629802.0,7244321407.0,8617687884.0,16092131257.0,7623337908.0,8761700277.0,9943148003.0
4,Các khoản tương đương tiền,8000000000.0,0.0,10000000000.0,19000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,55099307945.0,74197098581.0,75021192812.0,103828261103.0,84103704084.0,49221203511.0,71156744046.0,77027056624.0,73797309382.0,114313875862.0
10,Phải thu khách hàng,55454262556.0,76070244411.0,76671432935.0,87469638984.0,80024487354.0,49266877977.0,66310069990.0,77702525964.0,72188056740.0,109892804395.0
11,Trả trước người bán,1601824147.0,160319637.0,300193694.0,17894277317.0,5750108252.0,1805334274.0,6223437900.0,961247957.0,3549964763.0,4416933105.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
